,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
760,13121008000,1072.0,2017.0
761,13121007807,679.0,2010.0
762,13121007807,701.0,2011.0
763,13121007807,733.0,2012.0
764,13121007807,771.0,2013.0
765,13121007807,741.0,2014.0
766,13121007807,776.0,2015.0
767,13121007807,786.0,2016.0
768,13121007807,792.0,2017.0
769,13121007900,1257.0,2010.0
770,13121007900,1289.0,2011.0
771,13121007900,1281.0,2012.0
772,13121007900,1308.0,2013.0
773,13121007900,1314.0,2014.0
774,13121007900,1265.0,2015.0
775,13121007900,1362.0,2016.0
776,13121007900,1333.0,2017.0
777,13121008201,725.0,2010.0
778,13121008201,796.0,2011.0
779,13121008201,785.0,2012.0
780,13121008201,779.0,2013.0
781,13121008201,783.0,2014.0
782,13121008201,798.0,2015.0
783,13121008201,856.0,2016.0
784,13121008201,870.0,2017.0
785,13121008102,750.0,2010.0
786,13121008102,739.0,2011.0
787,13121008102,750.0,2012.0
788,13121008102,764.0,2013.0
789,13121008102,772.0,2014.0
790,13121008102,742.0,2015.0
791,13121008102,752.0,2016.0
792,13121008102,755.0,2017.0
793,13121004800,394.0,2010.0
794,13121004800,604.0,2011.0
795,13121004800,651.0,2012.0
796,13121004800,759.0,2013.0
797,13121004800,794.0,2014.0
798,13121004800,816.0,2015.0
799,13121004800,861.0,2016.0
800,13121004800,944.0,2017.0
801,13121005000,913.0,2010.0
802,13121005000,929.0,2011.0
803,13121005000,1016.0,2012.0
804,13121005000,1136.0,2013.0
805,13121005000,1155.0,2014.0
806,13121005000,1208.0,2015.0
807,13121005000,1196.0,2016.0
808,13121005000,1132.0,2017.0
809,13121003900,681.0,2010.0
810,13121003900,728.0,2011.0
811,13121003900,777.0,2012.0
812,13121003900,775.0,2013.0
813,13121003900,904.0,2014.0
814,13121003900,863.0,2015.0
815,13121003900,930.0,2016.0
816,13121003900,908.0,2017.0
817,13121004100,974.0,2010.0
818,13121004100,834.0,2011.0
819,13121004100,823.0,2012.0
820,13121004100,827.0,2013.0
821,13121004100,853.0,2014.0
822,13121004100,848.0,2015.0
823,13121004100,899.0,2016.0
824,13121004100,1042.0,2017.0
825,13121004900,1255.0,2010.0
826,13121004900,1112.0,2011.0
827,13121004900,1105.0,2012.0
828,13121004900,906.0,2013.0
829,13121004900,771.0,2014.0
830,13121004900,751.0,2015.0
831,13121004900,872.0,2016.0
832,13121004900,1023.0,2017.0
833,13121004000,985.0,2010.0
834,13121004000,988.0,2011.0
835,13121004000,973.0,2012.0
