,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
67,13121000500,1020.0,1006.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,42.0,10.0,19.0,14.0,12.0,7.0,26.0,153.0,181.0,210.0,74.0,175.0,66.0,14.0,2012.0
68,13121000500,1037.0,1021.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,20.0,16.0,60.0,3.0,15.0,181.0,122.0,258.0,26.0,205.0,81.0,16.0,2013.0
69,13121000500,1131.0,1106.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,41.0,6.0,19.0,0.0,86.0,0.0,18.0,120.0,118.0,301.0,40.0,148.0,196.0,25.0,2014.0
70,13121000500,1296.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,23.0,17.0,73.0,50.0,0.0,49.0,158.0,404.0,113.0,62.0,201.0,12.0,2015.0
71,13121000500,1300.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,12.0,34.0,69.0,61.0,0.0,148.0,139.0,333.0,149.0,55.0,127.0,12.0,2016.0
72,13121000500,1316.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,75.0,13.0,15.0,65.0,0.0,65.0,76.0,113.0,266.0,266.0,78.0,108.0,29.0,2017.0
73,13121003600,555.0,537.0,5.0,0.0,34.0,24.0,9.0,13.0,4.0,13.0,14.0,23.0,159.0,51.0,43.0,12.0,0.0,4.0,44.0,74.0,11.0,0.0,0.0,18.0,2012.0
74,13121003600,510.0,494.0,5.0,0.0,29.0,16.0,19.0,15.0,12.0,14.0,11.0,50.0,84.0,91.0,23.0,13.0,6.0,5.0,28.0,73.0,0.0,0.0,0.0,16.0,2013.0
75,13121003600,564.0,552.0,11.0,0.0,22.0,20.0,39.0,11.0,9.0,5.0,9.0,36.0,97.0,73.0,39.0,15.0,38.0,15.0,39.0,74.0,0.0,0.0,0.0,12.0,2014.0
76,13121003600,597.0,597.0,15.0,0.0,0.0,47.0,8.0,12.0,23.0,5.0,9.0,22.0,103.0,84.0,60.0,19.0,47.0,43.0,18.0,68.0,8.0,6.0,0.0,0.0,2015.0
77,13121003600,561.0,561.0,29.0,0.0,0.0,41.0,15.0,12.0,32.0,5.0,5.0,14.0,24.0,105.0,54.0,20.0,13.0,76.0,24.0,55.0,31.0,6.0,0.0,0.0,2016.0
78,13121003600,620.0,620.0,10.0,0.0,0.0,117.0,10.0,19.0,0.0,17.0,0.0,5.0,42.0,56.0,41.0,18.0,21.0,72.0,79.0,55.0,52.0,6.0,0.0,0.0,2017.0
79,13121010002,742.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,61.0,287.0,183.0,53.0,138.0,7.0,2012.0
80,13121010002,880.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,53.0,308.0,212.0,104.0,186.0,8.0,2013.0
81,13121010002,984.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,295.0,302.0,130.0,230.0,6.0,2014.0
82,13121010002,971.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,258.0,321.0,112.0,111.0,40.0,2015.0
83,13121010002,1148.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,24.0,125.0,409.0,226.0,143.0,65.0,2016.0
84,13121010002,1282.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,21.0,125.0,370.0,348.0,166.0,56.0,2017.0
85,13121010001,797.0,797.0,0.0,0.0,116.0,0.0,8.0,25.0,27.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,44.0,93.0,109.0,191.0,43.0,118.0,14.0,0.0,2012.0
86,13121010001,693.0,693.0,0.0,0.0,61.0,29.0,6.0,32.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,93.0,59.0,139.0,75.0,115.0,13.0,0.0,2013.0
87,13121010001,660.0,660.0,0.0,0.0,0.0,29.0,0.0,33.0,0.0,0.0,0.0,0.0,14.0,0.0,12.0,0.0,0.0,148.0,66.0,136.0,147.0,75.0,0.0,0.0,2014.0
88,13121010001,574.0,574.0,0.0,0.0,0.0,0.0,0.0,39.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,121.0,30.0,157.0,159.0,29.0,0.0,0.0,2015.0
89,13121010001,584.0,584.0,0.0,0.0,16.0,0.0,0.0,42.0,0.0,16.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,99.0,60.0,106.0,191.0,0.0,0.0,34.0,2016.0
90,13121010001,649.0,649.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,71.0,27.0,202.0,168.0,91.0,0.0,34.0,2017.0
