,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
534,13121005200,2390.0,1238.0,704.0,534.0,109.0,425.0,1152.0,749.0,403.0,2017.0
535,13121005300,1585.0,797.0,618.0,179.0,32.0,147.0,788.0,594.0,194.0,2017.0
536,13121005501,903.0,413.0,133.0,280.0,41.0,239.0,490.0,348.0,142.0,2017.0
537,13121005502,1104.0,425.0,94.0,331.0,14.0,317.0,679.0,577.0,102.0,2017.0
538,13121005700,664.0,303.0,88.0,215.0,28.0,187.0,361.0,302.0,59.0,2017.0
539,13121005800,638.0,347.0,105.0,242.0,19.0,223.0,291.0,158.0,133.0,2017.0
540,13121006000,1327.0,614.0,217.0,397.0,97.0,300.0,713.0,643.0,70.0,2017.0
541,13121006100,1330.0,812.0,200.0,612.0,110.0,502.0,518.0,447.0,71.0,2017.0
542,13121006200,512.0,316.0,131.0,185.0,29.0,156.0,196.0,162.0,34.0,2017.0
543,13121006300,597.0,276.0,82.0,194.0,26.0,168.0,321.0,310.0,11.0,2017.0
544,13121006400,348.0,196.0,103.0,93.0,5.0,88.0,152.0,85.0,67.0,2017.0
545,13121006500,1452.0,790.0,262.0,528.0,92.0,436.0,662.0,529.0,133.0,2017.0
546,13121006601,764.0,354.0,148.0,206.0,39.0,167.0,410.0,338.0,72.0,2017.0
547,13121006602,441.0,206.0,41.0,165.0,24.0,141.0,235.0,200.0,35.0,2017.0
548,13121006700,1505.0,696.0,207.0,489.0,84.0,405.0,809.0,691.0,118.0,2017.0
549,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
550,13121006802,524.0,384.0,16.0,368.0,26.0,342.0,140.0,128.0,12.0,2017.0
551,13121006900,1301.0,680.0,310.0,370.0,132.0,238.0,621.0,327.0,294.0,2017.0
552,13121007001,1372.0,804.0,310.0,494.0,75.0,419.0,568.0,459.0,109.0,2017.0
553,13121007002,988.0,516.0,132.0,384.0,31.0,353.0,472.0,402.0,70.0,2017.0
554,13121007100,782.0,416.0,158.0,258.0,31.0,227.0,366.0,338.0,28.0,2017.0
555,13121007200,764.0,490.0,173.0,317.0,52.0,265.0,274.0,269.0,5.0,2017.0
556,13121007300,2877.0,1876.0,461.0,1415.0,184.0,1231.0,1001.0,969.0,32.0,2017.0
557,13121007400,1182.0,545.0,119.0,426.0,67.0,359.0,637.0,572.0,65.0,2017.0
558,13121007500,1555.0,597.0,156.0,441.0,110.0,331.0,958.0,905.0,53.0,2017.0
559,13121007602,1026.0,596.0,250.0,346.0,83.0,263.0,430.0,368.0,62.0,2017.0
560,13121007603,2152.0,774.0,212.0,562.0,105.0,457.0,1378.0,1285.0,93.0,2017.0
561,13121007604,990.0,416.0,46.0,370.0,18.0,352.0,574.0,547.0,27.0,2017.0
562,13121007703,1518.0,991.0,493.0,498.0,97.0,401.0,527.0,442.0,85.0,2017.0
563,13121007704,2058.0,1239.0,442.0,797.0,161.0,636.0,819.0,724.0,95.0,2017.0
564,13121007705,1772.0,832.0,185.0,647.0,86.0,561.0,940.0,877.0,63.0,2017.0
565,13121007706,4373.0,1853.0,608.0,1245.0,101.0,1144.0,2520.0,2303.0,217.0,2017.0
