,GEOID,OCCUPANCY STATUS_Estimate!!Total,OCCUPANCY STATUS_Estimate!!Total!!Occupied,OCCUPANCY STATUS_Estimate!!Total!!Vacant,YEAR
318,13121007603,2659.0,2152.0,507.0,2017.0
319,13121007604,1398.0,1004.0,394.0,2012.0
320,13121007604,1335.0,920.0,415.0,2013.0
321,13121007604,1376.0,980.0,396.0,2014.0
322,13121007604,1390.0,913.0,477.0,2015.0
323,13121007604,1446.0,928.0,518.0,2016.0
324,13121007604,1489.0,990.0,499.0,2017.0
325,13121007703,1809.0,1423.0,386.0,2012.0
326,13121007703,1810.0,1501.0,309.0,2013.0
327,13121007703,1784.0,1481.0,303.0,2014.0
328,13121007703,1772.0,1499.0,273.0,2015.0
329,13121007703,1799.0,1543.0,256.0,2016.0
330,13121007703,1805.0,1518.0,287.0,2017.0
331,13121007704,2115.0,1774.0,341.0,2012.0
332,13121007704,2072.0,1799.0,273.0,2013.0
333,13121007704,2137.0,1906.0,231.0,2014.0
334,13121007704,2216.0,1926.0,290.0,2015.0
335,13121007704,2301.0,2002.0,299.0,2016.0
336,13121007704,2388.0,2058.0,330.0,2017.0
337,13121009501,2148.0,1730.0,418.0,2012.0
338,13121009501,2098.0,1648.0,450.0,2013.0
339,13121009501,2094.0,1678.0,416.0,2014.0
340,13121009501,2124.0,1641.0,483.0,2015.0
341,13121009501,2062.0,1674.0,388.0,2016.0
342,13121009501,2025.0,1651.0,374.0,2017.0
343,13089020700,1170.0,935.0,235.0,2012.0
344,13089020700,1185.0,907.0,278.0,2013.0
345,13089020700,1153.0,893.0,260.0,2014.0
346,13089020700,1158.0,918.0,240.0,2015.0
347,13089020700,1197.0,979.0,218.0,2016.0
348,13089020700,1181.0,962.0,219.0,2017.0
349,13121008902,3689.0,3308.0,381.0,2012.0
350,13121008902,3753.0,3324.0,429.0,2013.0
351,13121008902,3945.0,3554.0,391.0,2014.0
352,13121008902,4094.0,3666.0,428.0,2015.0
353,13121008902,4167.0,3816.0,351.0,2016.0
354,13121008902,4365.0,3761.0,604.0,2017.0
355,13121009403,3274.0,2776.0,498.0,2012.0
356,13121009403,3286.0,2840.0,446.0,2013.0
357,13121009403,3313.0,2854.0,459.0,2014.0
358,13121009403,3194.0,2789.0,405.0,2015.0
359,13121009403,3168.0,2646.0,522.0,2016.0
360,13121009403,3167.0,2787.0,380.0,2017.0
361,13121009602,3101.0,2574.0,527.0,2012.0
362,13121009602,3151.0,2659.0,492.0,2013.0
363,13121009602,3226.0,2688.0,538.0,2014.0
364,13121009602,3289.0,2703.0,586.0,2015.0
365,13121009602,3300.0,2787.0,513.0,2016.0
366,13121009602,3323.0,2746.0,577.0,2017.0
367,13121009404,2649.0,2330.0,319.0,2012.0
368,13121009404,2597.0,2297.0,300.0,2013.0
369,13121009404,2627.0,2321.0,306.0,2014.0
370,13121009404,2654.0,2388.0,266.0,2015.0
371,13121009404,2655.0,2302.0,353.0,2016.0
372,13121009404,2702.0,2360.0,342.0,2017.0
373,13121009502,2830.0,1993.0,837.0,2012.0
374,13121009502,2746.0,1867.0,879.0,2013.0
375,13121009502,2593.0,1750.0,843.0,2014.0
376,13121009502,2450.0,1612.0,838.0,2015.0
377,13121009502,2485.0,1806.0,679.0,2016.0
378,13121009502,2585.0,1896.0,689.0,2017.0
379,13121010114,3095.0,2792.0,303.0,2012.0
380,13121010114,3019.0,2809.0,210.0,2013.0
381,13121010114,3065.0,2962.0,103.0,2014.0
382,13121010114,3085.0,2987.0,98.0,2015.0
383,13121010114,3098.0,2938.0,160.0,2016.0
384,13121010114,3183.0,3013.0,170.0,2017.0
385,13121011800,1895.0,1236.0,659.0,2012.0
386,13121011800,2067.0,1188.0,879.0,2013.0
387,13121011800,2219.0,1266.0,953.0,2014.0
388,13121011800,2025.0,1324.0,701.0,2015.0
389,13121011800,1960.0,1231.0,729.0,2016.0
390,13121011800,1900.0,1096.0,804.0,2017.0
391,13089020600,987.0,780.0,207.0,2012.0
392,13089020600,1006.0,807.0,199.0,2013.0
393,13089020600,1001.0,851.0,150.0,2014.0
394,13089020600,1042.0,950.0,92.0,2015.0
395,13089020600,1124.0,1033.0,91.0,2016.0
396,13089020600,1144.0,976.0,168.0,2017.0
397,13089020400,1289.0,1158.0,131.0,2012.0
398,13089020400,1261.0,1154.0,107.0,2013.0
399,13089020400,1257.0,1169.0,88.0,2014.0
400,13089020400,1297.0,1234.0,63.0,2015.0
401,13089020400,1355.0,1312.0,43.0,2016.0
402,13089020400,1361.0,1294.0,67.0,2017.0
403,13089020500,1737.0,1349.0,388.0,2012.0
404,13089020500,1787.0,1390.0,397.0,2013.0
405,13089020500,1813.0,1371.0,442.0,2014.0
406,13089020500,1807.0,1390.0,417.0,2015.0
407,13089020500,1880.0,1483.0,397.0,2016.0
408,13089020500,1881.0,1474.0,407.0,2017.0
409,13089020801,1163.0,1051.0,112.0,2012.0
410,13089020801,1171.0,1040.0,131.0,2013.0
411,13089020801,1158.0,1041.0,117.0,2014.0
412,13089020801,1187.0,1085.0,102.0,2015.0
413,13089020801,1194.0,1093.0,101.0,2016.0
414,13089020801,1229.0,1090.0,139.0,2017.0
415,13089020900,2784.0,2484.0,300.0,2012.0
416,13089020900,2760.0,2437.0,323.0,2013.0
417,13089020900,2725.0,2341.0,384.0,2014.0
418,13089020900,2768.0,2416.0,352.0,2015.0
419,13089020900,2815.0,2453.0,362.0,2016.0
420,13089020900,2936.0,2601.0,335.0,2017.0
421,13121001002,511.0,399.0,112.0,2012.0
422,13121001002,526.0,433.0,93.0,2013.0
423,13121001002,568.0,443.0,125.0,2014.0
424,13121001002,573.0,498.0,75.0,2015.0
425,13121001002,538.0,470.0,68.0,2016.0
426,13121001002,581.0,493.0,88.0,2017.0
427,13121000700,407.0,348.0,59.0,2012.0
428,13121000700,406.0,349.0,57.0,2013.0
429,13121000700,390.0,341.0,49.0,2014.0
430,13121000700,397.0,336.0,61.0,2015.0
431,13121000700,414.0,350.0,64.0,2016.0
432,13121000700,418.0,348.0,70.0,2017.0
433,13121008700,2444.0,1891.0,553.0,2012.0
434,13121008700,2398.0,1819.0,579.0,2013.0
435,13121008700,2389.0,1932.0,457.0,2014.0
436,13121008700,2440.0,2051.0,389.0,2015.0
437,13121008700,2474.0,2086.0,388.0,2016.0
438,13121008700,2633.0,2362.0,271.0,2017.0
439,13089020100,711.0,679.0,32.0,2012.0
440,13089020100,707.0,707.0,0.0,2013.0
441,13089020100,758.0,758.0,0.0,2014.0
442,13089020100,754.0,731.0,23.0,2015.0
443,13089020100,842.0,796.0,46.0,2016.0
444,13089020100,840.0,785.0,55.0,2017.0
445,13089020200,1206.0,1068.0,138.0,2012.0
446,13089020200,1148.0,995.0,153.0,2013.0
447,13089020200,1155.0,980.0,175.0,2014.0
448,13089020200,1184.0,1025.0,159.0,2015.0
449,13089020200,1190.0,994.0,196.0,2016.0
