,GEOID,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!2-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!3-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!4-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!5-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!6-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!7-or-more-person families,YEAR
116,13121005700,24356.0,24148.0,21750.0,-666666666.0,31979.0,-666666666.0,-666666666.0,2017.0
117,13121006400,44333.0,-666666666.0,48875.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
118,13121006300,27500.0,18657.0,36250.0,-666666666.0,2499.0,-666666666.0,-666666666.0,2017.0
119,13121006100,35476.0,24545.0,50000.0,37128.0,-666666666.0,-666666666.0,-666666666.0,2017.0
120,13121005502,29097.0,33152.0,-666666666.0,30223.0,-666666666.0,-666666666.0,-666666666.0,2017.0
121,13121005800,30804.0,32054.0,18814.0,51250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
122,13121006500,29904.0,27841.0,43917.0,-666666666.0,-666666666.0,93049.0,-666666666.0,2017.0
123,13121008602,38155.0,41705.0,-666666666.0,26167.0,-666666666.0,-666666666.0,-666666666.0,2017.0
124,13121008800,108558.0,101579.0,116094.0,125139.0,167019.0,-666666666.0,-666666666.0,2017.0
125,13121009200,85500.0,86167.0,129917.0,2499.0,-666666666.0,-666666666.0,-666666666.0,2017.0
126,13121007500,30977.0,27813.0,61000.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
127,13121008101,35667.0,43500.0,30875.0,-666666666.0,74688.0,-666666666.0,-666666666.0,2017.0
128,13121006000,37174.0,24010.0,46625.0,-666666666.0,-666666666.0,-666666666.0,36467.0,2017.0
